10026910,Vernal and Nevada Falls via the Mist Trail,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.73495, 'lng': -119.56619}",68.1488,10299.776,667.8168,3,loop,3,5,1869,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i
10005895,Upper Yosemite Falls Trail,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.74237, 'lng': -119.60223}",53.628,11587.248,967.74,7,out and back,3,5,1351,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",i
10005585,Half Dome Trail,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.73465, 'lng': -119.56583}",52.5316,23818.232,1573.9872,7,out and back,3,5,1196,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'rock-climbing']",i
10026952,Moro Rock Trail,Sequoia and Kings Canyon National Parks,Three Rivers,California,United States,"{'lat': 36.54685, 'lng': -118.76565}",44.1235,643.736,56.9976,3,out and back,3,4.5,701,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'walking']",i
10011926,Lower Yosemite Falls Trail,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.74587, 'lng': -119.59266}",43.3499,1609.34,15.8496,1,loop,3,4.5,925,"['ada', 'dogs-leash', 'forest', 'kids', 'partially-paved', 'river', 'strollers', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
10027503,Clouds Rest Trail via Tenaya Lake,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.82585, 'lng': -119.47046}",38.5795,19794.882,948.8424,5,out and back,3,5,685,"['dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'horseback-riding']",i
10010560,Four Mile Trail,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.73388, 'lng': -119.60185}",38.2519,12070.05,998.8296,7,out and back,3,5,754,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",i
10031426,Sentinel Dome Trail,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.71243, 'lng': -119.58632}",37.5768,3379.614,138.9888,1,out and back,4,5,577,"['forest', 'views', 'wild-flowers', 'wildlife']","['hiking', 'trail-running']",i
10033113,Glacier Point Trail,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.72765, 'lng': -119.57432}",37.4664,965.604,71.9328,1,out and back,4,4.5,344,"['ada', 'dogs-leash', 'forest', 'kids', 'paved', 'strollers', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing', 'walking', 'cross-country-skiing']",i
10276593,Vernal Falls,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.73257, 'lng': -119.55916}",37.2129,5954.558,406.908,3,out and back,3,5,1107,"['forest', 'partially-paved', 'river', 'views', 'waterfall']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'walking']",i
10011170,Ryan Mountain Trail,Joshua Tree National Park,Twentynine Palms,California,United States,"{'lat': 34.00264, 'lng': -116.13594}",37.0218,4828.02,325.8312,3,out and back,3,4.5,917,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']",['hiking'],i
10235913,Mirror Lake via Valley Loop Trail,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.73889, 'lng': -119.56914}",34.1675,9012.304,101.8032,1,loop,4,4,622,"['ada', 'dogs-no', 'forest', 'lake', 'kids', 'paved', 'river', 'strollers', 'views', 'waterfall', 'wildlife']","['hiking', 'walking']",i
